Title,Authors,Published Date,Abstract,URL,Official Categories,Categories_0.5,Categories_0.6,Categories_0.7,Categories_0.8,Categories_0.9
Planetarium: A Rigorous Benchmark for Translating Text to Structured Planning Languages,"Max Zuo, Francisco Piedrahita Velez, Xiaochen Li, Michael L. Littman, Stephen H. Bach",2024-07-03,"Many recent works have explored using language models for planning problems. One line of research focuses on translating natural language descriptions of planning tasks into structured planning languages, such as the planning domain definition language (PDDL). While this approach is promising, accurately measuring the quality of generated PDDL code continues to pose significant challenges. First, generated PDDL code is typically evaluated using planning validators that check whether the problem can be solved with a planner. This method is insufficient because a language model might generate valid PDDL code that does not align with the natural language description of the task. Second, existing evaluation sets often have natural language descriptions of the planning task that closely resemble the ground truth PDDL, reducing the challenge of the task. To bridge this gap, we introduce \benchmarkName, a benchmark designed to evaluate language models' ability to generate PDDL code from natural language descriptions of planning tasks. We begin by creating a PDDL equivalence algorithm that rigorously evaluates the correctness of PDDL code generated by language models by flexibly comparing it against a ground truth PDDL. Then, we present a dataset of $132,037$ text-to-PDDL pairs across 13 different tasks, with varying levels of difficulty. Finally, we evaluate several API-access and open-weight language models that reveal this task's complexity. For example, $87.6\%$ of the PDDL problem descriptions generated by GPT-4o are syntactically parseable, $82.2\%$ are valid, solve-able problems, but only $35.1\%$ are semantically correct, highlighting the need for a more rigorous benchmark for this problem.",http://arxiv.org/abs/2407.03321v1,"cs.CL, cs.AI, cs.LG","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']","['plan-generation', 'language-translation', 'interactive-planning']",['language-translation'],['Unclassified']
Automated radiotherapy treatment planning guided by GPT-4Vision,"Sheng Liu, Oscar Pastor-Serrano, Yizheng Chen, Matthew Gopaulchan, Weixing Liang, Mark Buyyounouski, Erqi Pollom, Quynh-Thu Le, Michael Gensheimer, Peng Dong, Yong Yang, James Zou, Lei Xing",2024-06-21,"Radiotherapy treatment planning is a time-consuming and potentially subjective process that requires the iterative adjustment of model parameters to balance multiple conflicting objectives. Recent advancements in large foundation models offer promising avenues for addressing the challenges in planning and clinical decision-making. This study introduces GPT-RadPlan, a fully automated treatment planning framework that harnesses prior radiation oncology knowledge encoded in multi-modal large language models, such as GPT-4Vision (GPT-4V) from OpenAI. GPT-RadPlan is made aware of planning protocols as context and acts as an expert human planner, capable of guiding a treatment planning process. Via in-context learning, we incorporate clinical protocols for various disease sites as prompts to enable GPT-4V to acquire treatment planning domain knowledge. The resulting GPT-RadPlan agent is integrated into our in-house inverse treatment planning system through an API. The efficacy of the automated planning system is showcased using multiple prostate and head & neck cancer cases, where we compared GPT-RadPlan results to clinical plans. In all cases, GPT-RadPlan either outperformed or matched the clinical plans, demonstrating superior target coverage and organ-at-risk sparing. Consistently satisfying the dosimetric objectives in the clinical protocol, GPT-RadPlan represents the first multimodal large language model agent that mimics the behaviors of human planners in radiation oncology clinics, achieving remarkable results in automating the treatment planning process without the need for additional training.",http://arxiv.org/abs/2406.15609v2,"physics.med-ph, cs.AI","['heuristics-optimization', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']",['Unclassified'],['Unclassified'],['Unclassified'],['Unclassified']
RePrompt: Planning by Automatic Prompt Engineering for Large Language Models Agents,"Weizhe Chen, Sven Koenig, Bistra Dilkina",2024-06-17,"In this past year, large language models (LLMs) have had remarkable success in domains outside the traditional natural language processing, and people are starting to explore the usage of LLMs in more general and close to application domains like code generation, travel planning, and robot controls. Connecting these LLMs with great capacity and external tools, people are building the so-called LLM agents, which are supposed to help people do all kinds of work in everyday life. In all these domains, the prompt to the LLMs has been shown to make a big difference in what the LLM would generate and thus affect the performance of the LLM agents. Therefore, automatic prompt engineering has become an important question for many researchers and users of LLMs. In this paper, we propose a novel method, \textsc{RePrompt}, which does ""gradient descent"" to optimize the step-by-step instructions in the prompt of the LLM agents based on the chat history obtained from interactions with LLM agents. By optimizing the prompt, the LLM will learn how to plan in specific domains. We have used experiments in PDDL generation and travel planning to show that our method could generally improve the performance for different reasoning tasks when using the updated prompt as the initial prompt.",http://arxiv.org/abs/2406.11132v1,"cs.CL, cs.AI, cs.LG","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'interactive-planning', 'plan-generation']",['Unclassified'],['Unclassified']
DAG-Plan: Generating Directed Acyclic Dependency Graphs for Dual-Arm Cooperative Planning,"Zeyu Gao, Yao Mu, Jinye Qu, Mengkang Hu, Lingyue Guo, Ping Luo, Yanfeng Lu",2024-06-14,"Dual-arm robots offer enhanced versatility and efficiency over single-arm counterparts by enabling concurrent manipulation of multiple objects or cooperative execution of tasks using both arms. However, effectively coordinating the two arms for complex long-horizon tasks remains a significant challenge. Existing task planning methods predominantly focus on single-arm robots or rely on predefined bimanual operations, failing to fully leverage the capabilities of dual-arm systems. To address this limitation, we introduce DAG-Plan, a structured task planning framework tailored for dual-arm robots. DAG-Plan harnesses large language models (LLMs) to decompose intricate tasks into actionable sub-tasks represented as nodes within a directed acyclic graph (DAG). Critically, DAG-Plan dynamically assigns these sub-tasks to the appropriate arm based on real-time environmental observations, enabling parallel and adaptive execution. We evaluate DAG-Plan on the novel Dual-Arm Kitchen Benchmark, comprising 9 sequential tasks with 78 sub-tasks and 26 objects. Extensive experiments demonstrate the superiority of DAG-Plan over directly using LLM to generate plans, achieving nearly 50% higher efficiency compared to the single-arm task planning baseline and nearly double the success rate of the dual-arm task planning baseline.",http://arxiv.org/abs/2406.09953v2,"cs.RO, cs.AI","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']",['Unclassified'],['Unclassified'],['Unclassified']
CLMASP: Coupling Large Language Models with Answer Set Programming for Robotic Task Planning,"Xinrui Lin, Yangfan Wu, Huanyu Yang, Yu Zhang, Yanyong Zhang, Jianmin Ji",2024-06-05,"Large Language Models (LLMs) possess extensive foundational knowledge and moderate reasoning abilities, making them suitable for general task planning in open-world scenarios. However, it is challenging to ground a LLM-generated plan to be executable for the specified robot with certain restrictions. This paper introduces CLMASP, an approach that couples LLMs with Answer Set Programming (ASP) to overcome the limitations, where ASP is a non-monotonic logic programming formalism renowned for its capacity to represent and reason about a robot's action knowledge. CLMASP initiates with a LLM generating a basic skeleton plan, which is subsequently tailored to the specific scenario using a vector database. This plan is then refined by an ASP program with a robot's action knowledge, which integrates implementation details into the skeleton, grounding the LLM's abstract outputs in practical robot contexts. Our experiments conducted on the VirtualHome platform demonstrate CLMASP's efficacy. Compared to the baseline executable rate of under 2% with LLM approaches, CLMASP significantly improves this to over 90%.",http://arxiv.org/abs/2406.03367v1,cs.AI,"['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['plan-generation', 'model-construction', 'language-translation']",['Unclassified'],['Unclassified']
GameVLM: A Decision-making Framework for Robotic Task Planning Based on Visual Language Models and Zero-sum Games,"Aoran Mei, Jianhua Wang, Guo-Niu Zhu, Zhongxue Gan",2024-05-22,"With their prominent scene understanding and reasoning capabilities, pre-trained visual-language models (VLMs) such as GPT-4V have attracted increasing attention in robotic task planning. Compared with traditional task planning strategies, VLMs are strong in multimodal information parsing and code generation and show remarkable efficiency. Although VLMs demonstrate great potential in robotic task planning, they suffer from challenges like hallucination, semantic complexity, and limited context. To handle such issues, this paper proposes a multi-agent framework, i.e., GameVLM, to enhance the decision-making process in robotic task planning. In this study, VLM-based decision and expert agents are presented to conduct the task planning. Specifically, decision agents are used to plan the task, and the expert agent is employed to evaluate these task plans. Zero-sum game theory is introduced to resolve inconsistencies among different agents and determine the optimal solution. Experimental results on real robots demonstrate the efficacy of the proposed framework, with an average success rate of 83.3%.",http://arxiv.org/abs/2405.13751v1,"cs.RO, cs.AI","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['multiagent-planning', 'model-construction']",['Unclassified'],['Unclassified']
LLM+Reasoning+Planning for supporting incomplete user queries in presence of APIs,"Sudhir Agarwal, Anu Sreepathy, David H. Alonso, Prarit Lamba",2024-05-21,"Recent availability of Large Language Models (LLMs) has led to the development of numerous LLM-based approaches aimed at providing natural language interfaces for various end-user tasks. These end-user tasks in turn can typically be accomplished by orchestrating a given set of APIs. In practice, natural language task requests (user queries) are often incomplete, i.e., they may not contain all the information required by the APIs. While LLMs excel at natural language processing (NLP) tasks, they frequently hallucinate on missing information or struggle with orchestrating the APIs. The key idea behind our proposed approach is to leverage logical reasoning and classical AI planning along with an LLM for accurately answering user queries including identification and gathering of any missing information in these queries. Our approach uses an LLM and ASP (Answer Set Programming) solver to translate a user query to a representation in Planning Domain Definition Language (PDDL) via an intermediate representation in ASP. We introduce a special API ""get_info_api"" for gathering missing information. We model all the APIs as PDDL actions in a way that supports dataflow between the APIs. Our approach then uses a classical AI planner to generate an orchestration of API calls (including calls to get_info_api) to answer the user query. Our evaluation results show that our approach significantly outperforms a pure LLM based approach by achieving over 95\% success rate in most cases on a dataset containing complete and incomplete single goal and multi-goal queries where the multi-goal queries may or may not require dataflow among the APIs.",http://arxiv.org/abs/2405.12433v1,cs.AI,"['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'model-construction', 'interactive-planning', 'plan-generation']",['language-translation'],['Unclassified'],['Unclassified']
NL2Plan: Robust LLM-Driven Planning from Minimal Text Descriptions,"Elliot Gestrin, Marco Kuhlmann, Jendrik Seipp",2024-05-07,"Today's classical planners are powerful, but modeling input tasks in formats such as PDDL is tedious and error-prone. In contrast, planning with Large Language Models (LLMs) allows for almost any input text, but offers no guarantees on plan quality or even soundness. In an attempt to merge the best of these two approaches, some work has begun to use LLMs to automate parts of the PDDL creation process. However, these methods still require various degrees of expert input. We present NL2Plan, the first domain-agnostic offline LLM-driven planning system. NL2Plan uses an LLM to incrementally extract the necessary information from a short text prompt before creating a complete PDDL description of both the domain and the problem, which is finally solved by a classical planner. We evaluate NL2Plan on four planning domains and find that it solves 10 out of 15 tasks - a clear improvement over a plain chain-of-thought reasoning LLM approach, which only solves 2 tasks. Moreover, in two out of the five failure cases, instead of returning an invalid plan, NL2Plan reports that it failed to solve the task. In addition to using NL2Plan in end-to-end mode, users can inspect and correct all of its intermediate results, such as the PDDL representation, increasing explainability and making it an assistive tool for PDDL creation.",http://arxiv.org/abs/2405.04215v1,cs.AI,"['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'language-translation', 'model-construction', 'interactive-planning', 'plan-generation']","['language-translation', 'interactive-planning']",['Unclassified']
Generating consistent PDDL domains with Large Language Models,"Pavel Smirnov, Frank Joublin, Antonello Ceravola, Michael Gienger",2024-04-11,"Large Language Models (LLMs) are capable of transforming natural language domain descriptions into plausibly looking PDDL markup. However, ensuring that actions are consistent within domains still remains a challenging task. In this paper we present a novel concept to significantly improve the quality of LLM-generated PDDL models by performing automated consistency checking during the generation process. Although the proposed consistency checking strategies still can't guarantee absolute correctness of generated models, they can serve as valuable source of feedback reducing the amount of correction efforts expected from a human in the loop. We demonstrate the capabilities of our error detection approach on a number of classical and custom planning domains (logistics, gripper, tyreworld, household, pizza).",http://arxiv.org/abs/2404.07751v1,"cs.RO, cs.AI","['heuristics-optimization', 'tool-integration', 'language-translation', 'model-construction', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'plan-generation', 'language-translation', 'interactive-planning']","['language-translation', 'interactive-planning']",['Unclassified'],['Unclassified']
The Case for Developing a Foundation Model for Planning-like Tasks from Scratch,"Biplav Srivastava, Vishal Pallagani",2024-04-06,"Foundation Models (FMs) have revolutionized many areas of computing, including Automated Planning and Scheduling (APS). For example, a recent study found them useful for planning problems: plan generation, language translation, model construction, multi-agent planning, interactive planning, heuristics optimization, tool integration, and brain-inspired planning. Besides APS, there are many seemingly related tasks involving the generation of a series of actions with varying guarantees of their executability to achieve intended goals, which we collectively call planning-like (PL) tasks like business processes, programs, workflows, and guidelines, where researchers have considered using FMs. However, previous works have primarily focused on pre-trained, off-the-shelf FMs and optionally fine-tuned them. This paper discusses the need for a comprehensive FM for PL tasks from scratch and explores its design considerations. We argue that such an FM will open new and efficient avenues for PL problem-solving, just like LLMs are creating for APS.",http://arxiv.org/abs/2404.04540v1,cs.AI,"['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']",['plan-generation'],['Unclassified'],['Unclassified']
